Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating
0ca97b34,B,City C,Normal,Female,Sports,191.17,3,28.68,602.19,2024-08-12,06:51:17,Cash,573.51,4.76,28.68,7.9
e247a50a,B,City A,Member,Female,Sports,307.82,1,15.39,323.21,2025-06-01,20:36:55,Credit Card,307.82,4.76,15.39,4.5
15824945,A,City C,Member,Female,Home,183.51,6,55.05,1156.11,2024-10-14,23:53:57,Cash,1101.06,4.76,55.05,9.6
9dd9b26d,A,City A,Member,Male,Beauty,489.05,8,195.62,4108.02,2024-08-18,14:08:23,E-wallet,3912.4,4.76,195.62,7.5
70b9a679,A,City B,Normal,Male,Electronic,199.85,7,69.95,1468.9,2025-01-30,07:18:10,E-wallet,1398.95,4.76,69.95,7.5
892265ba,C,City A,Normal,Female,Electronic,336.64,9,151.49,3181.25,2024-08-06,06:06:32,E-wallet,3029.76,4.76,151.49,6.4
44f7e031,B,City A,Member,Male,Fashion,410.3,9,184.64,3877.34,2025-03-08,08:51:50,Cash,3692.7,4.76,184.64,7.7
2f164316,C,City A,Normal,Male,Fashion,73.54,5,18.39,386.09,2024-10-21,19:09:14,Cash,367.7,4.76,18.39,5.3
04adf7e3,A,City A,Normal,Female,Beauty,103.49,4,20.7,434.66,2025-05-23,15:02:16,E-wallet,413.96,4.76,20.7,8.5
77fa5f4b,B,City A,Normal,Female,Fashion,437.18,5,109.3,2295.2,2024-10-31,20:22:53,Credit Card,2185.9,4.76,109.3,9.1
14f4c909,C,City C,Normal,Female,Sports,488.74,3,73.31,1539.53,2025-05-21,16:59:27,Credit Card,1466.22,4.76,73.31,5.2
3197a63a,A,City B,Normal,Male,Beauty,198.08,10,99.04,2079.84,2025-03-08,13:59:23,E-wallet,1980.8,4.76,99.04,7.7
11c1256e,C,City B,Member,Female,Fashion,273.52,5,68.38,1435.98,2025-04-19,18:09:51,E-wallet,1367.6,4.76,68.38,5.2
c04896c0,B,City A,Member,Female,Home,192.45,9,86.6,1818.65,2025-05-05,18:09:20,Credit Card,1732.05,4.76,86.6,6.5
75202ff7,B,City B,Normal,Female,Fashion,282.0,6,84.6,1776.6,2025-06-22,23:48:37,Cash,1692.0,4.76,84.6,5.2
012b7278,A,City B,Normal,Female,Electronic,354.3,5,88.58,1860.08,2024-10-30,07:59:36,Credit Card,1771.5,4.76,88.58,9.3
607764b8,B,City C,Normal,Male,Electronic,475.01,10,237.51,4987.61,2024-07-17,07:35:44,E-wallet,4750.1,4.76,237.51,9.4
444e5346,C,City A,Normal,Male,Fashion,102.37,7,35.83,752.42,2024-10-04,08:40:57,E-wallet,716.59,4.76,35.83,4.9
4d77d2c2,B,City B,Normal,Male,Fashion,128.61,2,12.86,270.08,2025-01-03,08:05:35,Credit Card,257.22,4.76,12.86,10.0
2f430fd9,A,City C,Normal,Female,Sports,53.91,1,2.7,56.61,2025-04-08,15:13:01,Credit Card,53.91,4.76,2.7,4.1
f9d457ba,A,City A,Normal,Male,Sports,146.83,4,29.37,616.69,2024-07-22,22:13:51,Credit Card,587.32,4.76,29.37,8.1
5c05e109,C,City B,Member,Male,Fashion,13.72,9,6.17,129.65,2025-06-25,13:25:03,E-wallet,123.48,4.76,6.17,5.3
482242ba,A,City A,Member,Female,Home,20.54,3,3.08,64.7,2024-11-01,05:00:39,E-wallet,61.62,4.76,3.08,4.6
3de07c61,C,City B,Normal,Female,Electronic,216.74,6,65.02,1365.46,2025-07-12,11:22:29,Cash,1300.44,4.76,65.02,5.0
c6a13268,B,City C,Normal,Male,Fashion,193.9,8,77.56,1628.76,2024-09-14,01:25:15,Cash,1551.2,4.76,77.56,5.9
00245ae7,C,City C,Normal,Male,Home,74.66,6,22.4,470.36,2024-08-28,12:18:39,Credit Card,447.96,4.76,22.4,4.3
